book_id,title,author,isbn,isbn13,asin,num_pages,avg_rating,num_ratings,year_pub_ed,text_review_count,genre,publisher,language,title_URL
44,"Daisy Haites: The Great Undoing
 (Magnolia Parks Universe, #4)","Hastings, Jessa",,,B0BN67X2DM,366,4.47,7857,2022,1624,Romance,Orion Publishing Co,English,https://www.goodreads.com/book/show/63922275-daisy-haites
45,"Magnolia Parks: The Long Way Home
 (Magnolia Parks Universe, #3)","Hastings, Jessa",,,B0B6D9FY3V,645,4.35,12430,2022,2501,Romance,Orion Publishing Co,English,https://www.goodreads.com/book/show/61447046-magnolia-parks
46,"Daisy Haites
 (Magnolia Parks Universe, #2)","Hastings, Jessa",,,B09MFD7179,436,4.18,16454,2021,2915,Romance,Orion Publishing Co,English,https://www.goodreads.com/book/show/59708060-daisy-haites
47,"Magnolia Parks
 (Magnolia Parks Universe, #1)","Hastings, Jessa",,,B096H6XVQ8,423,3.89,38696,2021,8678,Romance,Orion Publishing Co,English,https://www.goodreads.com/book/show/58527403-magnolia-parks
48,"The Hookup Plan
 (The Boyfriend Project, #3)","Rochon, Farrah",1538716682,9.78E+12,1538716682,368,3.88,5690,2022,1367,Romance,Forever,English,https://www.goodreads.com/book/show/59656260-the-hookup-plan
49,"Shots Not Taken
 (Nymphs & Trojans #1)","Falls, Nicole",,,B07VCBHYKM,278,4.47,833,2019,144,Romance,Independently published,English,https://www.goodreads.com/book/show/49515916-shots-not-taken
50,"Twisted
 (Never After, #4)","McIntire, Emily",,,B0B82XXNJS,366,3.96,23522,2023,3075,Romance,"Sourcebooks, Inc",English,https://www.goodreads.com/book/show/61434791-twisted
51,"Wretched
 (Never After, #3)","McIntire, Emily",,,B09VCV83CS,282,3.95,38782,2022,4177,Romance,"Sourcebooks, Inc",English,https://www.goodreads.com/book/show/60601111-wretched
52,"Scarred
 (Never After, #2)","McIntire, Emily",,,B09KS5HQGJ,388,3.99,59504,2022,6453,Romance,"Sourcebooks, Inc",English,https://www.goodreads.com/book/show/59512586-scarred
53,"Hooked
 (Never After, #1)","McIntire, Emily",,,B099XB1LXM,312,3.86,145701,2021,16320,Romance,"Sourcebooks, Inc",English,https://www.goodreads.com/book/show/58545703-hooked
